Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
8.6,80.0,High,Medium,No,6.3,95.6,Low,Yes,2,60.5
14.9,68.6,High,Medium,Yes,6.5,72.4,Medium,Yes,1,53.5
19.6,70.9,High,Low,No,8.8,58.1,Medium,Yes,2,48.9
13.2,66.8,Medium,High,Yes,5.7,90.0,Medium,Yes,2,53.0
24.1,88.7,Low,High,Yes,8.2,67.8,Medium,No,3,67.1
29.7,90.8,Low,Medium,Yes,7.2,59.2,Medium,Yes,1,63.7
27.8,78.5,Medium,High,No,6.5,62.8,Medium,Yes,0,57.3
19.2,88.6,High,Low,Yes,5.6,51.7,Low,Yes,1,51.5
29.4,89.4,Low,High,Yes,5.7,54.5,Low,No,2,52.8
21.4,65.5,Medium,Low,Yes,6.2,79.6,Medium,Yes,2,51.9
18.5,98.6,High,Medium,Yes,7.0,93.3,High,No,1,73.0
16.8,92.8,High,Medium,Yes,8.0,72.4,Low,Yes,1,53.4
18.7,68.2,Medium,Medium,Yes,6.8,81.3,Medium,Yes,2,64.3
18.2,67.4,High,Medium,No,6.9,90.5,Low,Yes,1,57.4
21.5,65.0,Medium,Medium,Yes,7.1,67.8,Medium,Yes,3,63.0
21.5,65.5,Medium,Medium,Yes,7.8,82.7,Low,Yes,2,56.2
20.5,89.9,Medium,High,Yes,8.0,67.5,High,Yes,2,65.9
23.1,78.8,Medium,Medium,No,5.4,82.1,Medium,Yes,0,54.5
27.6,91.3,Low,Medium,Yes,6.8,60.9,Low,Yes,2,59.0
26.2,89.9,High,Medium,No,8.8,98.9,Medium,Yes,0,73.6
11.6,84.2,High,High,No,5.5,53.8,Low,Yes,1,50.7
5.2,87.5,High,Medium,No,7.3,75.3,Low,Yes,0,41.7
26.1,60.7,Medium,Medium,No,7.0,64.3,Low,Yes,3,53.9
12.3,72.5,Medium,Medium,Yes,6.5,80.0,High,No,1,64.2
19.2,85.5,Medium,Medium,No,9.3,71.4,Low,Yes,4,66.5
13.5,60.4,Low,Medium,Yes,7.2,65.3,High,Yes,1,47.5
9.7,61.3,Medium,Medium,No,9.2,62.5,Low,Yes,1,38.8
23.7,94.1,Low,Medium,No,7.2,59.1,Low,Yes,2,49.9
25.1,87.4,Low,Medium,No,7.8,89.1,High,Yes,1,64.2
17.0,70.6,High,Low,Yes,6.4,61.1,Medium,Yes,3,49.7
5.0,87.5,Low,Medium,Yes,6.5,88.7,Medium,Yes,3,57.9
17.2,91.7,High,Medium,Yes,7.7,74.3,Medium,Yes,1,68.1
22.9,72.3,Medium,High,Yes,7.8,53.6,Low,Yes,3,54.5
11.6,61.4,High,Medium,Yes,8.0,58.3,Medium,Yes,1,43.2
21.6,97.3,Low,High,Yes,7.7,94.6,Medium,Yes,2,77.9
20.4,73.8,Medium,Low,No,5.5,80.1,Low,Yes,1,59.7
24.0,64.3,Medium,Low,Yes,6.2,59.2,High,Yes,3,61.3
21.2,79.7,High,High,No,8.3,85.2,Medium,Yes,1,67.3
14.7,90.7,Medium,Medium,Yes,4.7,91.2,Low,Yes,1,61.8
27.7,68.9,Medium,Low,No,7.6,66.5,Medium,Yes,0,55.6
19.5,70.8,High,Medium,No,7.1,77.8,High,Yes,1,61.2
20.3,69.7,Medium,Medium,Yes,8.3,64.7,Medium,Yes,0,49.9
14.9,99.7,Low,High,Yes,7.7,54.0,Medium,Yes,3,61.2
17.8,67.9,Medium,Low,Yes,6.3,70.0,High,Yes,2,55.5
15.2,83.0,Medium,Medium,No,6.3,87.6,Medium,Yes,1,58.2
19.5,97.0,Medium,High,Yes,6.5,72.9,Medium,Yes,4,68.3
30.8,65.9,Medium,High,Yes,8.0,70.3,Low,Yes,4,67.6
12.3,98.8,Low,High,Yes,4.2,68.3,Medium,Yes,1,52.1
10.8,97.9,Medium,Medium,Yes,7.4,72.9,Medium,Yes,2,57.1
29.3,95.4,High,High,No,6.1,65.9,High,Yes,1,66.3
19.2,68.6,Medium,High,Yes,7.4,80.6,Low,Yes,3,69.7
16.5,85.4,Medium,High,Yes,7.6,53.2,Low,Yes,1,49.1
26.7,90.4,Low,High,Yes,5.0,90.4,Low,Yes,3,80.0
16.9,99.4,Medium,High,No,6.9,58.7,Medium,Yes,3,61.0
31.5,67.2,Low,Low,Yes,7.4,81.7,Low,Yes,3,65.9
24.6,90.6,Medium,Low,No,7.3,72.5,High,Yes,2,65.6
17.6,73.6,Medium,High,Yes,7.0,88.7,High,Yes,3,69.4
33.4,67.0,High,Medium,No,5.6,91.3,Medium,Yes,0,69.7
16.9,76.9,Low,Low,No,5.8,60.2,Low,Yes,0,42.0
25.0,91.8,Medium,Medium,Yes,5.4,83.9,Medium,Yes,1,68.4
22.3,78.6,Medium,High,Yes,7.9,59.5,High,Yes,0,51.4
28.3,81.5,Medium,Low,Yes,7.0,56.2,Low,Yes,4,57.5
29.9,99.8,High,Medium,No,7.1,96.5,Medium,Yes,1,73.2
20.7,76.0,Medium,Low,Yes,5.0,58.2,Medium,Yes,0,49.3
16.0,84.6,Low,Low,Yes,7.2,61.4,High,Yes,0,53.4
23.3,74.6,Medium,Medium,Yes,8.0,56.5,Low,Yes,2,57.2
16.4,75.7,Medium,Low,Yes,4.8,73.5,Low,Yes,1,52.1
32.6,87.8,Low,High,Yes,6.5,96.0,Medium,Yes,0,76.5
21.3,97.5,Medium,High,No,5.2,63.2,Medium,Yes,3,61.5
18.3,81.7,Medium,High,No,6.7,77.1,Medium,Yes,0,63.0
21.6,90.7,Medium,Medium,Yes,6.0,70.6,Low,Yes,2,58.9
12.4,63.6,Low,Medium,No,7.7,66.8,Medium,Yes,2,46.9
14.7,68.4,Medium,Low,No,7.4,78.6,Medium,Yes,1,54.1
27.7,80.1,Medium,Medium,No,8.9,77.9,Medium,Yes,0,56.4
16.6,60.8,Medium,Medium,Yes,7.1,68.0,High,Yes,2,55.6
14.2,70.1,High,High,Yes,7.6,92.5,High,Yes,1,62.9
23.7,80.7,Low,Low,No,6.5,52.7,Medium,Yes,0,48.1
27.6,60.6,High,Medium,No,5.8,54.3,Medium,Yes,3,62.9
24.8,70.6,Medium,High,Yes,8.3,99.5,Medium,Yes,1,70.4
26.5,80.6,High,Medium,Yes,8.8,87.4,Low,No,1,68.6
16.0,82.9,Medium,High,Yes,8.1,90.2,Medium,Yes,0,68.5
12.0,97.0,Medium,High,Yes,7.4,80.1,Low,Yes,3,65.6
29.5,85.8,High,Medium,Yes,5.9,71.0,Low,No,2,64.7
18.6,76.6,High,Medium,Yes,8.7,81.5,Medium,No,1,56.1
19.0,97.2,Medium,High,Yes,8.0,54.6,Medium,Yes,1,53.6
28.5,91.4,Low,Low,No,9.8,87.9,Medium,Yes,1,65.4
23.8,68.0,Medium,Medium,Yes,5.7,77.0,Medium,Yes,2,60.3
23.2,65.2,High,High,Yes,8.3,97.8,High,Yes,1,71.2
33.5,87.0,Medium,Medium,Yes,7.9,81.9,Medium,Yes,2,69.6
16.6,82.4,Medium,Medium,Yes,6.8,57.6,Medium,No,0,51.7
26.1,91.6,Medium,Medium,Yes,9.0,73.9,Low,Yes,2,61.6
20.8,89.6,High,High,No,7.7,52.9,High,Yes,0,55.1
22.1,85.0,Medium,Low,Yes,6.0,87.3,Low,Yes,1,55.4
29.7,99.5,Medium,Medium,No,7.0,75.1,High,Yes,1,72.5
23.5,81.3,High,Medium,No,6.0,68.5,High,Yes,0,60.4
23.7,64.5,Medium,Medium,No,6.6,98.4,Medium,Yes,2,67.1
26.9,93.1,High,High,No,8.1,97.0,High,Yes,1,81.6
18.3,70.1,Medium,High,No,8.5,97.6,Medium,Yes,3,71.0
15.5,91.1,Medium,Medium,Yes,7.5,61.0,High,Yes,0,57.3
14.2,98.3,Medium,Low,No,6.2,86.4,Medium,Yes,2,66.3
8.7,87.9,Medium,Low,Yes,7.7,97.3,Medium,No,1,64.1
32.8,83.8,High,Medium,Yes,8.1,78.5,Low,Yes,0,71.5
13.9,78.4,Medium,Medium,Yes,4.6,60.7,Medium,Yes,1,50.3
19.2,74.6,Medium,Low,No,7.4,90.9,High,Yes,1,61.5
18.8,74.1,Medium,Medium,Yes,7.0,94.0,High,No,0,65.0
22.3,85.5,Medium,Low,No,8.4,85.2,High,Yes,3,68.4
25.4,90.1,Medium,High,Yes,7.7,64.7,Low,Yes,1,56.0
25.7,87.1,Medium,High,No,7.8,59.5,Medium,Yes,2,51.6
17.0,67.9,Medium,Medium,Yes,6.6,81.2,Medium,Yes,1,58.7
19.5,79.8,High,Low,Yes,7.2,74.1,Medium,Yes,2,58.4
22.2,91.7,High,High,Yes,8.4,83.4,Medium,Yes,1,76.2
19.0,79.0,Medium,High,Yes,7.1,55.6,Medium,Yes,1,60.3
30.1,81.5,Medium,Medium,Yes,7.4,56.8,Medium,Yes,2,62.8
23.4,90.8,Medium,High,No,5.2,68.1,Medium,Yes,1,65.2
24.9,86.5,Medium,High,Yes,7.1,62.9,Medium,No,2,59.1
24.5,76.4,Medium,Medium,No,4.6,81.0,Medium,No,0,63.1
27.5,95.8,Medium,Medium,Yes,6.5,68.4,Low,No,1,61.1
21.6,66.5,Medium,Medium,Yes,7.3,84.2,High,Yes,0,63.5
12.7,99.8,Medium,Medium,Yes,8.2,88.4,Low,Yes,0,56.9
22.9,64.8,Medium,Medium,Yes,5.9,59.4,Medium,Yes,0,52.1
16.6,60.6,Low,High,No,7.7,96.0,Low,Yes,3,58.5
17.3,95.6,Medium,High,No,9.1,89.4,Medium,Yes,1,80.9
24.0,69.8,Low,Medium,Yes,6.4,81.3,High,Yes,0,69.7
27.9,89.2,High,Medium,No,5.2,95.4,Low,Yes,2,78.0
20.6,92.4,High,Medium,Yes,7.6,63.3,High,Yes,1,55.6
22.4,94.4,High,Low,No,5.7,71.1,Low,Yes,1,50.8
30.7,99.7,High,Medium,No,6.1,54.3,Low,Yes,1,59.7
21.9,71.8,Medium,High,No,8.4,72.8,High,Yes,1,61.9
36.1,88.4,High,Medium,Yes,9.6,75.3,Medium,Yes,1,78.4
23.9,64.6,Low,Medium,Yes,5.9,80.8,Low,Yes,2,62.1
9.9,76.3,Low,Low,Yes,6.2,53.2,High,Yes,2,46.3
25.0,93.9,High,Medium,No,6.6,51.6,Medium,Yes,3,64.8
22.8,74.7,Low,Medium,No,6.5,71.0,Low,Yes,1,56.2
28.2,83.6,High,Medium,Yes,9.7,59.5,High,No,3,65.9
24.5,80.2,Medium,Medium,No,6.5,87.9,Medium,Yes,1,71.6
19.7,85.8,High,Low,No,6.7,83.4,Low,Yes,2,57.6
13.2,98.9,Medium,Low,Yes,9.3,66.3,High,Yes,3,63.8
19.2,62.2,Medium,Medium,No,7.9,52.3,Medium,Yes,1,48.6
15.4,83.0,Low,Low,Yes,8.5,59.1,Medium,Yes,0,43.8
17.0,94.5,High,High,Yes,6.0,84.6,High,Yes,3,80.3
24.0,79.3,Low,Low,Yes,6.5,99.5,High,Yes,1,70.7
30.5,63.1,Medium,Medium,Yes,5.8,66.3,Low,Yes,3,52.4
22.9,82.4,Medium,Medium,No,8.2,90.1,High,Yes,3,70.6
13.3,73.3,Low,Medium,Yes,8.8,93.4,Medium,Yes,2,58.9
23.2,66.2,Medium,High,Yes,6.4,52.4,Medium,Yes,2,53.9
27.7,94.0,Low,Medium,Yes,6.7,95.8,High,Yes,2,86.2
16.8,80.9,High,High,Yes,6.8,73.3,Medium,Yes,2,61.6
19.7,97.3,Medium,Medium,Yes,5.2,98.2,Medium,Yes,2,79.9
20.6,92.2,Medium,Medium,Yes,6.3,76.9,Medium,Yes,1,67.3
15.8,87.7,Medium,High,Yes,8.2,61.8,Medium,Yes,1,44.6
24.4,60.2,Medium,Medium,No,6.1,98.7,Low,Yes,2,69.8
19.8,77.1,Medium,Medium,No,7.3,62.2,High,Yes,1,54.4
23.0,67.9,High,High,Yes,5.5,94.1,High,Yes,2,75.1
15.2,96.4,Low,High,No,7.0,58.7,Medium,Yes,0,53.6
17.9,67.0,Low,Medium,No,6.5,83.7,Medium,Yes,0,68.8
24.8,71.4,Medium,Medium,No,5.6,70.6,Low,Yes,3,60.6
18.3,80.7,Medium,Low,No,8.2,98.6,High,Yes,2,72.9
30.9,70.5,Medium,Medium,No,8.3,59.2,Medium,Yes,0,60.6
18.1,68.4,Medium,Medium,Yes,5.9,70.4,Low,Yes,2,46.7
21.8,84.0,High,High,Yes,6.9,82.0,High,Yes,0,72.0
26.1,63.6,Low,Medium,No,7.3,98.9,High,Yes,0,70.1
12.0,62.3,Medium,High,Yes,4.8,65.2,Medium,Yes,1,46.5
9.9,74.9,Medium,Low,No,5.4,69.8,Low,No,0,47.1
11.3,88.8,Medium,Medium,No,8.9,73.1,Low,Yes,1,46.3
28.1,82.2,High,High,Yes,5.8,62.6,Medium,Yes,0,64.1
17.2,76.9,Medium,Medium,No,8.8,90.9,Medium,No,3,65.9
35.8,82.6,High,Low,Yes,5.5,54.6,Medium,Yes,0,57.4
17.1,74.6,Medium,Medium,No,8.1,85.2,Medium,Yes,2,53.3
21.6,97.4,Low,High,Yes,6.8,76.7,Medium,Yes,1,70.2
29.8,62.2,Low,Medium,No,7.0,62.1,Medium,Yes,3,60.7
32.5,86.9,Medium,Medium,Yes,9.6,74.6,High,Yes,4,73.9
32.9,95.7,Medium,Medium,No,5.6,91.5,Medium,Yes,4,77.8
27.8,92.2,Low,Medium,No,8.0,72.3,High,Yes,2,73.2
26.6,67.4,Medium,High,Yes,7.9,56.1,High,No,1,59.8
24.1,71.8,Medium,Low,No,10.0,52.0,Low,Yes,1,46.1
25.2,88.7,Low,Medium,Yes,5.8,88.9,High,Yes,2,70.5
17.2,63.4,Medium,Medium,No,6.4,66.5,Low,Yes,5,55.3
15.6,92.5,High,High,Yes,8.3,96.6,High,Yes,1,74.0
20.5,88.8,Medium,High,No,6.9,80.9,Medium,No,2,72.7
19.5,89.2,High,High,No,6.6,71.8,Medium,Yes,1,57.0
17.8,64.0,Medium,Medium,Yes,8.4,78.2,Medium,Yes,2,54.9
24.7,88.7,Medium,Low,Yes,6.9,72.9,Low,Yes,1,66.0
26.2,87.2,Medium,Medium,No,6.0,95.3,Low,Yes,1,70.5
21.0,93.2,Medium,High,Yes,8.1,72.9,High,Yes,2,69.4
29.4,61.7,Medium,High,Yes,7.7,55.2,Medium,Yes,2,60.9
13.6,60.9,Medium,High,Yes,6.8,79.9,Medium,Yes,0,61.5
19.3,74.9,Medium,Low,Yes,6.7,81.1,High,Yes,0,55.4
16.2,66.0,Low,Medium,Yes,6.0,88.3,Low,Yes,0,64.0
9.3,82.3,High,Medium,No,8.1,96.7,Medium,Yes,1,62.0
20.0,96.7,Medium,High,No,6.7,72.2,Medium,Yes,1,64.8
19.8,75.7,Medium,Medium,No,6.2,67.6,Low,Yes,2,54.3
29.6,93.8,Medium,High,Yes,5.5,74.5,High,Yes,0,77.3
24.3,60.0,High,Medium,Yes,7.7,95.0,Medium,Yes,1,69.9
14.4,66.7,Medium,Low,Yes,6.5,99.0,Low,Yes,0,56.0
31.6,61.2,Medium,Medium,No,4.6,98.6,Medium,Yes,0,66.1
27.8,73.1,High,Low,Yes,5.6,61.5,High,Yes,5,63.4
24.0,96.3,High,Medium,Yes,6.9,74.8,Low,Yes,1,56.7
19.1,63.9,Low,Low,Yes,6.9,63.0,Medium,Yes,2,54.0
14.7,84.3,Low,Medium,No,6.9,68.4,High,Yes,5,60.8
18.3,78.1,High,Medium,No,6.7,51.6,High,Yes,2,52.8
27.0,97.5,High,High,Yes,5.3,58.0,Medium,Yes,4,71.6
31.8,64.9,Medium,High,Yes,6.1,69.9,Medium,Yes,2,68.2
29.8,68.5,Medium,Medium,No,8.7,68.2,Medium,Yes,0,60.4
17.6,61.2,Medium,Low,Yes,8.5,63.9,Medium,Yes,1,44.7
13.8,77.4,Medium,Low,No,8.0,61.5,Low,Yes,0,45.3
21.3,71.1,Medium,High,No,7.8,87.4,Medium,Yes,3,65.3
9.9,94.8,Low,Medium,No,8.4,64.7,Medium,Yes,1,54.3
22.4,84.2,High,Low,No,5.7,85.3,High,Yes,3,64.7
19.6,84.6,High,High,No,7.2,68.4,Low,Yes,1,61.4
17.7,81.3,Medium,Medium,No,5.7,90.1,Medium,Yes,2,66.7
10.9,63.7,Medium,High,Yes,5.8,58.4,Medium,Yes,1,46.1
23.6,77.8,Low,Medium,Yes,7.7,57.9,Medium,Yes,2,57.4
17.3,100.0,Medium,Medium,No,8.4,84.0,Medium,Yes,1,65.0
13.5,93.4,Medium,Medium,Yes,6.9,95.7,Low,Yes,1,63.8
3.3,95.7,Medium,High,No,9.3,57.1,Low,Yes,0,48.1
20.3,92.9,Medium,High,Yes,7.5,53.7,Medium,Yes,1,60.0
31.1,64.1,Medium,Medium,No,6.2,96.7,High,Yes,1,77.5
30.5,69.1,High,Medium,Yes,5.8,55.9,Medium,Yes,2,58.5
17.8,60.1,Low,Medium,No,8.5,62.5,Medium,Yes,0,46.4
16.9,72.1,Medium,High,Yes,7.4,96.5,High,Yes,1,74.0
23.3,64.3,High,Medium,No,8.1,90.1,Medium,Yes,3,63.7
14.5,78.9,Medium,High,Yes,4.0,67.1,Medium,Yes,0,60.5
22.3,87.1,Medium,Medium,Yes,7.5,97.7,Low,Yes,1,71.2
25.1,95.0,Medium,Medium,Yes,6.5,78.4,High,Yes,1,74.6
27.9,90.0,High,Medium,No,5.4,53.6,Medium,Yes,1,59.6
19.9,97.5,Low,High,Yes,7.1,85.2,Medium,Yes,3,71.5
19.3,62.2,Medium,High,No,8.6,76.9,Low,Yes,0,57.6
15.2,60.5,Low,Medium,No,10.0,78.6,Medium,No,3,51.5
15.5,86.5,Low,Medium,No,7.5,99.7,Low,Yes,0,61.1
19.1,71.6,Medium,Medium,No,6.3,57.6,Medium,Yes,2,51.1
22.7,70.1,Low,Low,Yes,6.2,82.8,High,Yes,1,57.7
26.0,73.2,High,High,No,8.5,72.9,Low,Yes,2,63.9
15.7,70.8,High,Medium,No,5.9,63.6,Medium,Yes,1,55.6
29.5,80.5,Medium,High,Yes,8.0,84.7,Low,Yes,2,62.8
18.9,77.6,Medium,High,Yes,7.6,83.4,Medium,Yes,0,60.6
20.4,80.5,Medium,High,Yes,7.4,92.8,Medium,Yes,3,71.3
16.0,86.9,High,High,Yes,5.2,93.9,Low,Yes,2,67.8
6.0,75.5,Medium,Medium,Yes,6.7,78.1,High,Yes,1,57.9
25.8,70.1,Low,High,No,5.3,66.3,Medium,Yes,3,61.4
24.9,66.6,High,Low,No,6.4,76.5,High,Yes,1,65.1
18.8,74.0,High,Medium,Yes,8.4,68.0,Low,Yes,0,50.6
20.9,89.7,Medium,High,No,8.8,63.9,Medium,Yes,3,60.1
23.6,90.3,High,Medium,Yes,7.5,77.6,High,Yes,2,70.2
11.1,86.7,High,High,Yes,6.5,82.9,High,Yes,1,58.6
17.3,69.4,Medium,High,No,9.3,79.5,High,Yes,2,63.0
25.3,83.5,Medium,High,No,6.4,97.7,Medium,Yes,1,73.8
13.0,82.8,High,Medium,Yes,5.7,64.9,Medium,Yes,1,49.4
22.3,79.4,Medium,Medium,Yes,8.1,68.6,High,Yes,0,69.8
12.4,82.0,Medium,Medium,Yes,7.8,83.4,Low,Yes,2,62.4
23.3,79.7,Low,High,Yes,6.5,80.0,Medium,Yes,4,70.7
20.3,82.6,High,Medium,No,7.3,50.1,High,Yes,2,56.5
10.8,88.6,High,Medium,No,7.8,65.6,Low,Yes,2,52.5
27.5,64.4,Low,Medium,No,7.5,62.7,Medium,Yes,1,58.5
16.1,90.0,High,Low,Yes,7.8,92.0,Medium,Yes,1,70.2
15.6,65.4,High,Low,No,6.5,93.3,High,Yes,2,67.5
21.7,62.7,High,Low,Yes,7.9,64.2,Medium,Yes,2,44.3
27.4,99.0,Low,Medium,No,7.2,55.1,Medium,Yes,2,64.6
14.4,98.3,Medium,High,Yes,6.6,60.3,High,Yes,0,54.1
20.9,62.4,Medium,Low,No,6.9,58.8,Medium,Yes,3,48.8
23.1,77.7,Medium,Low,No,7.1,61.9,High,Yes,1,60.6
24.7,67.4,Medium,Medium,No,5.3,61.7,Low,Yes,4,48.5
21.6,79.4,High,High,Yes,6.4,74.0,Medium,No,2,70.3
18.3,93.2,Medium,Low,No,7.3,66.0,Low,Yes,1,55.8
15.5,98.0,High,Medium,No,5.4,78.0,Low,Yes,2,61.4
21.0,85.4,Low,Medium,No,6.4,67.2,Low,Yes,1,58.4
14.1,74.2,Medium,Medium,Yes,10.0,90.7,Medium,Yes,0,64.2
3.0,84.1,Low,Medium,Yes,5.7,97.5,High,Yes,2,64.5
23.1,72.5,Medium,Medium,Yes,6.7,70.2,Medium,Yes,0,59.5
25.9,96.4,Medium,High,Yes,6.1,52.5,Low,Yes,2,53.9
6.3,94.8,High,Medium,No,7.0,62.0,High,Yes,2,56.8
14.4,82.3,Medium,Low,No,6.1,55.1,Low,Yes,3,49.1
24.2,73.0,Medium,Medium,Yes,6.9,67.2,High,Yes,0,64.8
32.8,71.7,Medium,Medium,No,6.3,82.3,High,No,1,72.1
20.6,61.3,Low,High,Yes,8.6,75.9,Medium,Yes,1,59.7
16.1,92.6,Low,Medium,Yes,7.3,62.1,Low,Yes,2,49.3
19.4,78.0,Medium,High,Yes,5.9,88.4,Medium,Yes,1,66.1
28.7,73.0,Medium,High,No,8.3,56.6,High,Yes,1,63.4
16.6,78.8,High,Medium,No,6.0,61.4,Medium,Yes,2,56.1
15.7,92.7,Medium,High,Yes,5.2,83.8,Low,Yes,0,67.3
17.6,65.0,High,Medium,No,7.2,59.9,High,Yes,0,52.4
14.8,94.3,Medium,Medium,Yes,9.7,83.9,Medium,No,3,65.4
21.2,95.9,High,Low,Yes,4.8,98.8,Low,Yes,0,68.6
30.2,97.9,Medium,Medium,Yes,5.5,91.6,High,Yes,2,78.1
22.4,75.9,Medium,Medium,Yes,8.2,58.0,High,Yes,0,60.1
19.0,68.7,Medium,Medium,No,6.4,76.0,Medium,Yes,3,57.3
18.7,74.9,High,Medium,No,8.0,71.1,Low,Yes,3,54.5
11.1,73.3,Medium,Medium,Yes,6.1,99.6,Medium,Yes,1,58.4
25.8,67.0,Medium,Medium,Yes,7.4,98.2,Medium,Yes,2,71.5
20.0,84.3,Medium,Medium,Yes,9.5,56.4,Low,Yes,0,51.0
19.4,79.1,Medium,Low,Yes,5.6,95.4,High,Yes,1,74.7
39.7,94.6,Medium,Medium,Yes,8.5,59.7,High,Yes,0,69.4
22.3,61.3,Low,Medium,Yes,8.1,66.0,Medium,Yes,4,57.1
16.0,85.8,Medium,Medium,No,5.3,67.7,Medium,Yes,1,44.7
17.9,90.5,Medium,Low,Yes,7.9,64.3,Low,Yes,2,53.5
27.4,90.4,Low,Medium,Yes,7.3,92.7,Medium,Yes,0,71.7
21.2,95.4,Medium,Medium,No,7.3,66.5,Low,Yes,1,57.0
11.9,89.2,Low,High,Yes,7.6,90.8,Low,Yes,0,66.3
26.0,97.1,High,Medium,Yes,6.7,99.7,Medium,Yes,1,78.6
16.5,73.3,Medium,Low,Yes,7.3,92.0,High,Yes,1,62.2
31.7,80.1,High,Low,Yes,7.5,67.3,Medium,Yes,0,56.3
27.0,60.6,Medium,Low,Yes,8.2,85.6,Medium,Yes,1,57.4
17.8,60.3,High,Medium,Yes,5.2,76.7,Low,Yes,4,54.6
28.2,69.6,Medium,Low,No,8.9,89.3,Medium,Yes,0,66.1
20.9,64.0,Medium,Medium,No,5.7,57.7,Medium,Yes,1,41.5
25.6,70.4,Medium,Medium,No,8.2,81.9,Low,Yes,1,60.2
23.4,67.1,High,High,Yes,7.3,88.7,Low,Yes,2,68.1
15.4,61.1,Medium,Medium,Yes,5.5,88.1,Low,Yes,4,55.6
16.6,96.4,Medium,Medium,Yes,7.9,98.2,Medium,Yes,1,69.3
26.7,60.3,Low,High,Yes,6.0,52.9,Low,Yes,0,44.3
18.5,89.4,Medium,Medium,Yes,8.6,67.3,High,Yes,0,48.1
18.1,66.1,Medium,High,Yes,6.3,73.8,High,Yes,0,55.4
14.8,96.5,Low,Medium,Yes,5.3,65.5,Low,Yes,0,47.1
23.0,95.7,Medium,Medium,Yes,9.2,65.5,Medium,Yes,2,65.2
32.9,86.2,Medium,Medium,Yes,7.4,58.8,Medium,No,0,62.4
14.1,86.9,High,High,Yes,8.3,90.6,High,Yes,3,67.4
20.6,60.2,Low,Medium,Yes,6.1,95.4,Low,Yes,0,64.7
29.0,99.4,Medium,High,Yes,4.7,54.1,Medium,Yes,0,63.8
20.0,95.1,High,Low,Yes,9.4,57.7,Medium,Yes,1,52.6
23.2,95.8,Medium,Medium,Yes,7.2,61.4,Medium,Yes,1,60.5
14.1,86.4,Medium,High,Yes,7.8,75.4,Low,Yes,0,51.1
23.1,73.8,High,Medium,Yes,8.1,89.6,Low,Yes,1,53.1
19.4,95.7,Medium,High,Yes,6.8,53.6,Low,Yes,3,56.1
26.4,71.7,Medium,Low,No,7.5,81.8,Low,Yes,0,52.4
27.6,82.5,High,High,Yes,9.3,57.5,Low,Yes,1,55.7
36.0,64.0,High,Medium,Yes,7.2,98.6,Medium,Yes,0,75.5
24.0,96.9,Medium,Low,Yes,8.4,94.9,Medium,Yes,0,62.0
22.5,65.6,Low,High,Yes,4.6,97.5,Medium,Yes,1,69.9
21.7,69.0,Medium,Medium,Yes,8.7,55.3,Low,Yes,4,55.2
18.4,82.3,Low,Low,No,5.2,74.4,Low,Yes,3,48.4
22.5,90.6,Low,Low,No,8.5,58.3,High,Yes,0,58.8
18.7,84.8,Medium,Medium,Yes,7.7,80.0,Low,Yes,1,66.3
21.5,69.3,High,High,No,7.1,61.6,High,Yes,4,61.4
28.4,60.0,High,Low,Yes,7.1,88.5,High,Yes,1,69.9
14.5,90.3,Medium,Medium,Yes,6.9,82.2,Low,Yes,2,55.6
27.3,99.4,Medium,Low,No,6.1,78.6,High,Yes,2,75.4
28.4,92.4,Low,High,Yes,6.9,91.3,Medium,Yes,1,77.6
19.8,78.4,Medium,Low,Yes,10.0,75.0,Medium,Yes,0,56.4
7.8,96.2,Low,Medium,No,8.9,63.5,High,Yes,3,57.5
16.9,76.4,High,Low,Yes,6.1,81.0,Medium,Yes,1,58.9
28.3,81.0,Low,Medium,No,7.5,97.9,Medium,Yes,1,73.6
20.4,79.1,High,High,No,7.3,80.1,Medium,Yes,1,59.7
14.5,77.9,Medium,Medium,No,7.0,81.5,Medium,Yes,2,59.3
17.5,91.0,Medium,Low,Yes,5.9,96.7,Medium,Yes,1,66.7
25.5,81.1,Low,Medium,Yes,7.8,75.8,Low,Yes,1,55.6
23.8,72.7,Medium,High,No,8.3,99.8,Medium,Yes,1,71.8
19.1,70.3,High,Low,No,6.1,58.0,High,Yes,1,51.0
18.3,61.5,High,Low,Yes,9.7,76.9,Low,Yes,1,48.5
18.1,83.3,Medium,Low,No,9.2,60.6,Medium,Yes,2,54.2
15.0,69.2,Medium,High,Yes,7.9,72.7,Medium,Yes,2,59.3
30.2,65.9,Medium,Medium,Yes,5.6,58.5,Low,Yes,1,50.5
18.6,86.2,High,Medium,Yes,7.7,61.1,Low,Yes,2,53.4
27.8,87.2,High,Medium,Yes,7.6,60.5,Low,Yes,1,60.5
29.6,90.1,Medium,Medium,No,7.9,66.0,Medium,Yes,1,59.6
26.5,80.1,Medium,High,Yes,9.3,56.7,High,Yes,2,55.9
17.9,95.8,Medium,Medium,No,7.0,90.5,Medium,Yes,3,66.8
22.9,97.5,Medium,High,Yes,9.9,61.0,Medium,Yes,0,61.7
20.4,92.3,Low,Medium,Yes,7.7,70.8,Medium,Yes,2,60.2
15.1,85.4,Medium,Low,No,6.8,50.8,High,No,5,50.0
